farmer_id,name,phone,registration_date,age,gender,county,farm_size_acres,mean_ndvi,ndvi_trend,growing_season_match,transaction_velocity,savings_rate,loan_repayment_history,cooperative_endorsement,chama_participation,neighbor_vouches,fertilizer_purchase_timing,seed_quality_tier,advisory_usage,drought_exposure_index,rainfall_deviation,temperature_anomaly,credit_score,farmer_type
FM0286,James Wambui,0789555533,2024-10-29,36,M,Kiambu,1.51,0.837,0.061,0.624,37,0.273,1.0,3,1,3,0.634,2,1,0.114,-2.2,1.02,100.0,average
FM0287,Mary Kamau,0722884041,2025-08-03,26,F,Meru,1.61,0.442,0.152,0.578,15,0.089,0.5,2,0,2,0.457,1,0,0.241,-1.7,3.75,49.9,struggling
FM0288,Grace Wanjiku,0785486628,2025-09-17,51,M,Kiambu,1.21,0.846,-0.103,0.751,32,0.653,0.5,4,1,2,0.537,2,1,0.213,-1.32,2.36,100.0,average
FM0289,John Kamau,0712165951,2024-01-19,57,F,Kiambu,1.69,0.83,0.037,0.855,58,0.685,1.0,5,1,2,0.807,3,1,0.143,5.88,-0.95,100.0,excellent
FM0290,Mary Kamau,0781838894,2024-05-16,43,F,Uasin Gishu,1.7,0.894,0.025,0.965,58,0.607,1.0,4,1,5,0.917,2,1,0.391,-19.41,3.18,100.0,excellent
FM0291,Sarah Njeri,0716551253,2024-05-24,47,M,Meru,1.58,0.59,-0.009,0.687,39,0.255,0.5,4,0,4,0.58,2,0,0.534,-0.92,-2.37,83.2,average
FM0292,James Maina,0737529652,2024-07-26,48,F,Kiambu,1.05,0.621,-0.01,0.767,50,0.102,1.0,3,1,3,0.592,1,1,0.117,9.4,1.4,100.0,average
FM0293,James Wanjiku,0755398763,2025-05-19,64,M,Uasin Gishu,3.22,0.546,0.099,0.909,67,0.376,1.0,5,1,3,0.813,3,1,0.543,-21.03,2.87,100.0,excellent
FM0294,James Wanjiku,0727255938,2024-10-09,53,M,Bungoma,3.41,0.529,0.073,0.659,35,0.237,1.0,3,0,3,0.671,2,1,0.0,14.96,0.18,85.5,average
FM0295,James Wambui,0783851677,2024-12-27,35,M,Kiambu,1.58,0.879,-0.092,0.747,38,0.317,0.5,3,0,2,0.725,1,1,0.13,4.87,1.84,88.7,average
FM0296,David Kamau,0705420278,2025-08-26,41,M,Kiambu,6.71,0.412,-0.03,0.795,39,0.343,1.0,3,1,5,0.787,2,0,0.23,3.3,-1.29,99.6,average
FM0297,Lucy Achieng,0727883393,2025-06-12,49,M,Nakuru,0.78,0.336,0.096,0.574,11,0.098,0.5,1,0,1,0.327,1,0,0.247,-23.27,2.73,30.9,struggling
FM0298,John Achieng,0713865640,2025-01-03,27,M,Nakuru,2.21,0.494,0.032,0.722,46,0.637,1.0,3,0,2,0.69,2,1,0.153,6.21,3.9,100.0,average
FM0299,James Njeri,0755162316,2024-01-19,25,M,Meru,2.21,0.771,0.097,0.979,66,0.406,1.0,4,1,6,0.832,2,1,0.361,-23.59,-0.12,100.0,excellent
FM0300,Samuel Maina,0704390741,2025-05-08,36,F,Meru,2.89,0.439,-0.079,0.795,42,0.237,1.0,4,0,2,0.603,2,1,0.391,-17.87,3.92,87.4,average
FM0301,James Kamau,0785221444,2024-02-03,32,F,Bungoma,1.02,0.573,-0.147,0.306,11,0.139,0.5,1,0,0,0.473,1,0,0.098,-15.59,0.23,50.9,struggling
FM0302,John Maina,0747160748,2025-07-20,39,F,Nakuru,22.35,0.348,0.01,0.453,18,0.232,0.0,1,0,1,0.465,1,0,0.141,-3.11,2.64,31.4,struggling
FM0303,David Maina,0765505013,2024-10-27,43,M,Meru,11.19,0.818,0.081,0.863,45,0.367,1.0,4,1,6,0.992,3,1,0.343,-3.75,-0.17,100.0,excellent
FM0304,John Kiprotich,0788696357,2024-09-16,63,M,Meru,16.75,0.717,-0.018,0.602,35,0.153,1.0,3,0,1,0.696,2,0,0.255,-19.66,1.11,97.0,average
FM0305,Lucy Wambui,0794110982,2024-05-13,41,F,Nakuru,1.03,0.735,0.157,0.623,34,0.476,0.5,4,1,4,0.604,2,0,0.182,-7.06,-0.55,98.9,average
FM0306,Lucy Wanjiku,0751053948,2024-10-20,34,F,Nakuru,14.55,0.884,-0.054,0.812,39,0.355,1.0,3,1,3,0.609,2,1,0.454,-5.83,1.75,98.2,average
FM0307,Mary Wambui,0799400507,2024-10-19,38,F,Uasin Gishu,2.89,0.299,-0.131,0.573,11,0.153,0.0,1,0,1,0.419,1,0,0.172,-15.33,0.35,29.1,struggling
FM0308,David Wanjiku,0728143483,2024-08-20,49,F,Bungoma,11.04,0.881,0.063,0.898,61,0.427,1.0,5,1,5,0.97,2,1,0.118,22.4,1.56,100.0,excellent
FM0309,Peter Njeri,0724823750,2025-07-12,25,M,Meru,3.32,0.607,-0.036,0.732,34,0.248,1.0,4,0,1,0.725,2,1,0.289,-13.55,0.02,99.5,average
FM0310,John Achieng,0732070617,2025-07-23,56,M,Bungoma,2.7,0.548,-0.057,0.651,50,0.278,0.5,3,1,2,0.746,1,0,0.0,-12.36,3.34,87.0,average
FM0311,Grace Wambui,0746632865,2024-10-06,25,F,Meru,28.94,0.73,0.097,0.664,37,0.325,1.0,3,1,2,0.555,1,1,0.306,-2.58,-1.48,100.0,average
FM0312,Lucy Wambui,0714808369,2025-08-04,42,F,Meru,0.91,0.535,0.098,0.331,14,0.162,0.0,1,0,0,0.402,1,0,0.429,-10.75,0.65,32.0,struggling
FM0313,James Mwangi,0782079634,2025-07-14,47,F,Nakuru,0.72,0.772,0.103,0.62,34,0.155,1.0,3,1,1,0.707,2,0,0.011,-1.99,-0.16,99.3,average
FM0314,James Wanjiku,0745544667,2025-06-17,60,M,Kiambu,11.16,0.736,0.057,0.763,42,0.373,1.0,3,0,0,0.725,1,1,0.321,-17.64,-0.35,90.7,average
FM0315,Faith Njeri,0721962053,2023-12-22,45,F,Uasin Gishu,1.11,0.818,0.037,0.903,49,0.608,1.0,4,1,6,0.944,2,1,0.21,-27.54,0.98,100.0,excellent
FM0316,Sarah Wanjiku,0786990712,2024-06-01,34,F,Meru,1.09,0.173,-0.101,0.507,11,0.146,0.5,2,0,1,0.352,1,0,0.324,-22.98,1.2,43.6,struggling
FM0317,Lucy Mwangi,0738775659,2023-11-24,25,F,Nakuru,4.96,0.362,-0.081,0.512,15,0.074,0.0,1,0,0,0.28,1,0,0.251,17.38,1.02,32.0,struggling
FM0318,Peter Kiprotich,0718674894,2023-11-15,33,M,Bungoma,1.21,0.193,-0.185,0.35,9,0.237,0.5,1,0,0,0.29,1,0,0.0,13.22,0.53,36.3,struggling
FM0319,Lucy Njeri,0716335839,2025-06-14,61,M,Uasin Gishu,3.0,0.307,0.021,0.61,32,0.538,1.0,3,1,3,0.737,2,0,0.475,3.76,4.29,83.9,average
FM0320,Mary Kamau,0783926831,2025-03-08,29,F,Bungoma,5.04,0.62,0.051,0.712,42,0.251,0.5,3,1,4,0.731,1,1,0.0,0.76,1.59,88.3,average
FM0321,Faith Wambui,0757251991,2024-09-04,43,M,Kiambu,1.24,0.494,-0.052,0.368,14,0.107,0.0,1,0,0,0.252,1,0,0.046,-6.06,3.01,43.8,struggling
FM0322,David Wanjiku,0799509159,2024-09-14,55,M,Kiambu,1.61,0.814,-0.005,0.647,36,0.15,1.0,4,1,0,0.631,1,0,0.227,-5.17,1.09,100.0,average
FM0323,Sarah Achieng,0796739632,2025-02-10,41,F,Meru,4.35,0.624,0.021,0.71,41,0.401,1.0,4,1,1,0.762,1,0,0.357,-14.48,-1.73,100.0,average
FM0324,Lucy Wambui,0752521113,2024-03-10,63,F,Kiambu,3.68,0.726,0.003,0.736,32,0.116,1.0,3,1,2,0.76,2,0,0.23,-7.66,2.48,97.7,average
FM0325,David Kamau,0741178192,2024-01-24,26,F,Uasin Gishu,1.5,0.412,0.041,0.603,34,0.126,1.0,3,0,0,0.786,1,1,0.036,-2.06,2.24,86.8,average
FM0326,James Maina,0732449991,2024-11-21,42,M,Kiambu,5.39,0.874,0.059,0.959,47,0.449,1.0,4,1,6,0.835,3,1,0.217,-15.45,0.96,100.0,excellent
FM0327,Faith Kamau,0782506582,2025-05-06,64,M,Uasin Gishu,7.5,0.502,-0.041,0.829,34,0.122,1.0,4,1,2,0.745,2,0,0.467,5.88,0.47,100.0,average
FM0328,Mary Mwangi,0721467352,2025-01-28,39,M,Uasin Gishu,5.77,0.794,-0.015,0.91,45,0.365,1.0,5,1,7,0.935,2,1,0.211,-11.12,1.76,100.0,excellent
FM0329,Samuel Wambui,0768008185,2025-06-28,41,F,Uasin Gishu,6.29,0.311,-0.018,0.512,14,0.261,0.0,1,0,1,0.269,1,0,0.603,-22.54,1.77,24.2,struggling
FM0330,Mary Kiprotich,0724510575,2023-11-18,34,M,Uasin Gishu,3.29,0.26,-0.004,0.518,13,0.019,0.0,1,0,0,0.32,1,0,0.339,6.06,1.29,26.6,struggling
FM0331,Lucy Wambui,0710604336,2023-11-17,34,M,Nakuru,7.77,0.639,-0.018,0.685,36,0.215,1.0,3,1,2,0.713,2,1,0.212,-12.29,0.84,98.2,average
FM0332,James Maina,0755872558,2025-07-08,55,M,Meru,2.72,0.761,0.108,0.625,24,0.56,1.0,3,1,4,0.601,2,0,0.177,-20.49,3.05,94.7,average
FM0333,Mary Kamau,0710932492,2024-06-04,51,F,Uasin Gishu,4.0,0.803,0.081,0.924,55,0.719,1.0,4,1,8,0.83,3,1,0.378,-11.6,0.92,100.0,excellent
FM0334,John Wambui,0742739591,2025-06-05,64,M,Kiambu,1.57,0.728,0.046,0.775,31,0.302,1.0,3,1,1,0.544,2,0,0.194,8.01,2.41,100.0,average
FM0335,Mary Wanjiku,0704512781,2025-01-28,41,M,Nakuru,1.94,0.809,0.099,0.618,29,0.342,0.5,4,1,4,0.75,2,0,0.11,-9.13,1.93,100.0,average
FM0336,Mary Wambui,0701035670,2024-01-31,58,M,Nakuru,3.39,0.754,0.005,0.682,38,0.432,1.0,3,1,1,0.54,2,0,0.106,-9.13,2.22,100.0,average
FM0337,Mary Njeri,0783305884,2024-04-12,37,M,Nakuru,1.97,0.748,-0.003,0.663,32,0.208,1.0,3,1,0,0.531,2,0,0.175,-24.26,4.18,95.5,average
FM0338,John Njeri,0772608767,2024-02-05,61,F,Kiambu,1.48,0.632,0.049,0.834,43,0.469,1.0,4,1,5,0.74,2,0,0.218,-3.71,-0.13,100.0,average
FM0339,James Wanjiku,0713937356,2024-08-03,45,F,Kiambu,0.69,0.455,0.106,0.747,34,0.467,1.0,4,1,1,0.715,2,1,0.246,10.35,0.29,100.0,average
FM0340,Samuel Wambui,0775731518,2024-12-09,44,M,Meru,16.51,0.776,-0.075,0.373,12,0.155,0.5,2,0,1,0.453,1,0,0.447,-12.43,1.11,54.9,struggling
FM0341,Grace Mwangi,0783815529,2024-06-13,45,M,Kiambu,2.33,0.893,-0.0,0.93,52,0.566,1.0,4,1,10,0.971,3,1,0.181,-5.66,0.77,100.0,excellent
FM0342,Grace Achieng,0763456221,2024-08-30,38,M,Uasin Gishu,2.82,0.095,-0.025,0.336,17,0.154,0.0,1,0,1,0.261,1,0,0.421,-6.62,2.04,22.4,struggling
FM0343,Grace Kiprotich,0747265119,2025-07-27,36,F,Nakuru,6.76,0.582,0.053,0.704,26,0.241,1.0,4,0,2,0.798,1,0,0.149,3.83,2.27,96.4,average
FM0344,Peter Kiprotich,0723784392,2025-09-24,28,M,Bungoma,3.14,0.462,0.1,0.433,12,0.033,0.0,1,0,1,0.399,1,0,0.061,-14.07,3.62,34.2,struggling
FM0345,Faith Wanjiku,0735711373,2024-12-11,64,F,Uasin Gishu,3.87,0.245,-0.1,0.373,18,0.113,0.5,2,0,0,0.466,1,0,0.33,-14.05,2.23,45.3,struggling
FM0346,James Achieng,0730042249,2024-07-01,35,M,Bungoma,1.26,0.815,-0.043,0.925,51,0.426,1.0,5,1,7,0.879,3,1,0.204,0.67,2.09,100.0,excellent
FM0347,Peter Mwangi,0715831188,2025-06-06,34,M,Meru,2.4,0.437,-0.003,0.429,20,0.19,0.0,2,0,0,0.364,1,0,0.273,10.48,3.29,44.2,struggling
FM0348,Sarah Kamau,0770236677,2025-09-10,57,F,Bungoma,6.03,0.681,-0.027,0.818,39,0.28,1.0,3,1,1,0.717,1,1,0.196,19.09,1.31,100.0,average
FM0349,Lucy Mwangi,0749512219,2025-03-21,31,F,Nakuru,1.69,0.561,0.021,0.867,52,0.409,1.0,4,1,3,0.826,2,1,0.21,-9.89,-2.62,100.0,excellent
FM0350,James Njeri,0706120632,2024-05-13,30,F,Nakuru,5.55,0.745,-0.114,0.6,34,0.482,1.0,3,1,3,0.754,2,1,0.14,7.7,1.13,100.0,average
FM0351,Lucy Kamau,0718090000,2024-09-13,32,M,Kiambu,3.12,0.693,-0.016,0.949,66,0.422,1.0,5,1,2,0.936,3,1,0.008,-9.7,0.76,100.0,excellent
FM0352,Grace Maina,0778240182,2024-07-30,49,F,Kiambu,0.78,0.853,0.13,0.929,61,0.614,1.0,5,1,3,0.955,3,1,0.085,-5.46,-0.38,100.0,excellent
FM0353,Faith Kamau,0756381303,2025-02-25,39,M,Bungoma,4.13,0.837,0.047,0.762,36,0.194,1.0,3,1,3,0.734,2,0,0.218,2.73,2.88,100.0,average
FM0354,John Njeri,0715405230,2024-10-28,57,M,Nakuru,3.72,0.732,-0.055,0.767,33,0.128,1.0,4,1,0,0.692,1,0,0.0,12.1,2.5,100.0,average
FM0355,Lucy Kamau,0781149204,2024-10-25,28,M,Meru,9.3,0.945,0.099,0.992,64,0.466,1.0,5,1,7,0.865,2,1,0.321,-19.85,1.49,100.0,excellent
FM0356,Grace Maina,0739558907,2024-03-26,29,F,Kiambu,2.05,0.732,0.066,0.725,35,0.105,0.5,4,1,4,0.547,2,0,0.309,1.93,4.01,87.5,average
FM0357,Samuel Maina,0724899555,2025-02-01,30,M,Bungoma,1.92,0.119,-0.014,0.507,15,0.261,0.0,2,0,0,0.458,1,0,0.186,-5.89,2.3,37.7,struggling
FM0358,Grace Maina,0777320856,2023-11-02,53,F,Meru,1.38,0.64,0.019,0.774,31,0.358,1.0,3,0,1,0.797,2,0,0.254,-15.75,0.45,89.4,average
FM0359,James Kiprotich,0738230351,2025-08-12,45,M,Kiambu,3.54,0.65,-0.022,0.616,39,0.301,1.0,3,0,6,0.556,2,0,0.207,-4.03,2.73,96.1,average
FM0360,Grace Maina,0791129881,2024-03-14,35,M,Meru,0.44,0.978,0.013,0.993,51,0.514,1.0,5,1,5,0.883,3,1,0.258,-10.96,-1.37,100.0,excellent
FM0361,Lucy Achieng,0764696951,2024-09-09,48,F,Bungoma,1.69,0.855,0.038,0.967,60,0.594,1.0,5,1,2,0.878,2,1,0.105,11.88,2.32,100.0,excellent
FM0362,Sarah Wanjiku,0711264264,2023-12-11,59,M,Bungoma,1.45,0.539,0.137,0.934,50,0.161,1.0,5,1,4,0.852,2,1,0.059,7.54,2.55,100.0,excellent
FM0363,John Njeri,0740374110,2025-05-08,59,F,Meru,1.69,0.764,-0.029,0.616,36,0.226,1.0,3,1,3,0.55,1,1,0.36,-9.9,2.63,95.7,average
FM0364,Faith Achieng,0743259708,2025-04-21,39,M,Kiambu,6.49,0.531,0.046,0.434,13,0.295,0.0,2,0,0,0.301,1,0,0.119,-8.24,3.02,52.2,struggling
FM0365,James Wanjiku,0782379166,2025-02-22,41,F,Bungoma,12.94,0.803,0.066,0.657,38,0.195,1.0,3,1,0,0.561,2,1,0.0,-1.44,1.45,94.1,average
FM0366,Lucy Wambui,0700065197,2024-10-31,55,F,Bungoma,4.7,0.638,0.046,0.803,41,0.373,0.5,3,1,2,0.724,2,0,0.0,-8.65,1.42,90.9,average
FM0367,Mary Wanjiku,0794595829,2025-02-09,29,F,Kiambu,1.33,0.438,-0.073,0.398,10,0.115,0.5,2,0,0,0.308,1,0,0.21,7.7,3.76,49.1,struggling
FM0368,Faith Wambui,0709904053,2025-02-28,48,F,Bungoma,2.87,0.516,0.075,0.509,14,0.064,0.5,1,0,0,0.312,1,0,0.352,0.83,-0.81,50.9,struggling
FM0369,Peter Njeri,0754125378,2025-03-09,42,F,Uasin Gishu,1.9,0.398,0.02,0.84,34,0.367,1.0,3,1,0,0.613,1,0,0.366,-14.32,-0.17,83.6,average
FM0370,David Kamau,0769175326,2025-01-27,51,F,Bungoma,8.35,0.557,-0.129,0.836,43,0.272,1.0,3,0,3,0.6,2,0,0.0,10.32,-2.2,84.8,average
FM0371,Samuel Wambui,0741105641,2024-01-07,50,F,Kiambu,4.93,0.726,-0.077,0.725,51,0.155,0.5,3,1,3,0.762,2,0,0.125,-10.81,0.64,90.9,average
FM0372,Samuel Mwangi,0724403045,2024-03-24,39,M,Meru,1.27,0.378,0.097,0.653,34,0.364,1.0,4,1,3,0.715,2,0,0.1,-13.33,0.27,100.0,average
FM0373,David Kiprotich,0705704415,2024-09-06,25,F,Uasin Gishu,3.34,0.741,0.038,0.673,34,0.447,0.5,3,1,1,0.571,2,1,0.426,-23.32,2.45,95.7,average
FM0374,David Mwangi,0759009656,2024-12-30,63,M,Meru,6.13,0.204,-0.068,0.572,23,0.221,0.0,2,0,1,0.31,1,0,0.303,-5.36,-0.43,47.0,struggling
FM0375,John Maina,0794157912,2024-06-22,62,F,Meru,8.52,0.859,0.045,0.856,48,0.624,1.0,4,1,4,0.966,3,1,0.161,-3.68,1.7,100.0,excellent
FM0376,Grace Kiprotich,0780535130,2024-10-11,26,M,Bungoma,2.4,0.801,0.093,0.893,52,0.336,1.0,4,1,9,0.834,3,1,0.112,-5.01,2.61,100.0,excellent
FM0377,Faith Wambui,0784642781,2025-04-22,26,M,Bungoma,5.57,0.755,0.081,0.697,28,0.472,1.0,3,1,2,0.513,1,0,0.014,7.45,-0.36,98.1,average
FM0378,Peter Kiprotich,0738795320,2024-09-14,53,F,Kiambu,15.33,0.825,0.057,0.957,61,0.583,1.0,4,1,4,0.81,2,1,0.135,2.62,-0.48,100.0,excellent
FM0379,John Maina,0719657945,2024-12-30,54,F,Bungoma,3.83,0.718,0.094,0.832,32,0.301,1.0,3,0,1,0.595,2,0,0.097,-2.71,3.45,85.1,average
FM0380,John Kiprotich,0739113443,2024-02-21,55,F,Bungoma,1.64,0.487,-0.168,0.36,17,0.178,0.0,1,0,1,0.244,1,0,0.025,-3.68,2.51,45.8,struggling
FM0381,Samuel Njeri,0780252958,2024-01-26,27,F,Bungoma,1.25,0.525,-0.129,0.474,15,0.124,0.0,1,0,0,0.211,1,0,0.001,10.87,0.38,41.3,struggling
FM0382,Lucy Achieng,0722245973,2025-06-10,28,M,Uasin Gishu,1.61,0.766,-0.07,0.735,38,0.571,1.0,4,1,1,0.66,1,0,0.411,-18.6,3.45,100.0,average
FM0383,Samuel Wambui,0766251947,2024-10-06,27,M,Nakuru,2.95,0.675,-0.002,0.632,34,0.134,1.0,3,1,2,0.638,2,1,0.081,-15.66,0.27,93.0,average
FM0384,Faith Njeri,0719829249,2024-10-05,42,F,Nakuru,5.75,0.766,-0.022,0.306,18,0.078,0.0,1,0,0,0.386,1,0,0.227,-7.66,1.35,47.8,struggling
FM0385,Sarah Njeri,0746360754,2024-01-31,45,F,Nakuru,5.72,0.761,-0.053,0.862,55,0.471,1.0,4,1,8,0.922,3,1,0.432,-19.43,3.06,100.0,excellent
FM0386,Peter Wanjiku,0784061828,2024-12-22,30,M,Bungoma,5.59,0.847,0.075,0.883,63,0.492,1.0,4,1,4,0.878,3,1,0.213,-1.72,1.2,100.0,excellent
FM0387,Peter Achieng,0730803527,2024-02-02,43,F,Nakuru,3.67,0.72,-0.039,0.823,28,0.317,1.0,3,1,1,0.547,2,0,0.164,-25.55,0.47,100.0,average
FM0388,Grace Kamau,0729343834,2024-12-04,44,F,Meru,3.5,0.665,-0.12,0.711,38,0.499,1.0,3,1,0,0.694,2,1,0.32,-3.37,-0.03,99.9,average
FM0389,James Mwangi,0767045394,2025-08-16,27,M,Nakuru,4.34,0.788,0.071,0.868,65,0.396,1.0,4,1,4,0.854,2,1,0.222,0.8,2.01,100.0,excellent
FM0390,Sarah Wambui,0756912563,2024-08-19,53,M,Kiambu,5.54,0.794,-0.022,0.623,35,0.613,1.0,3,1,2,0.509,2,0,0.299,2.01,1.21,97.0,average
FM0391,John Kamau,0742117993,2024-01-28,46,F,Nakuru,5.56,0.563,-0.044,0.69,23,0.162,1.0,4,1,1,0.766,1,1,0.329,-3.68,0.76,98.7,average
FM0392,James Mwangi,0765089644,2024-11-11,38,M,Meru,31.85,0.76,0.113,0.963,54,0.324,1.0,5,1,8,0.912,3,1,0.293,-5.56,-0.41,100.0,excellent
FM0393,Faith Wanjiku,0799489466,2023-11-30,30,F,Nakuru,1.36,0.798,0.023,0.622,36,0.206,1.0,4,1,2,0.795,1,1,0.142,-5.12,0.54,100.0,average
FM0394,David Wambui,0708599469,2024-01-02,38,M,Meru,3.61,0.075,-0.179,0.38,13,0.097,0.5,1,0,0,0.459,1,0,0.184,-11.55,-2.47,35.1,struggling
FM0395,John Maina,0700855860,2024-05-30,58,F,Uasin Gishu,3.19,0.858,-0.008,0.637,38,0.469,1.0,3,1,0,0.598,2,1,0.274,0.99,3.51,100.0,average
FM0396,Mary Wanjiku,0704748065,2024-04-12,39,M,Bungoma,6.72,0.866,0.132,0.823,30,0.276,0.5,4,0,1,0.731,2,1,0.0,9.69,2.83,89.0,average
FM0397,John Achieng,0788677424,2024-07-09,47,F,Bungoma,2.97,0.626,-0.012,0.678,28,0.243,0.5,3,0,3,0.647,1,0,0.0,-2.34,2.12,71.8,average
FM0398,Peter Kamau,0712928708,2025-02-22,34,F,Kiambu,6.92,0.538,-0.035,0.518,19,0.153,0.0,1,0,0,0.248,1,0,0.082,-9.1,5.74,49.5,struggling
FM0399,John Achieng,0731508744,2024-06-30,44,F,Bungoma,5.41,0.538,-0.072,0.455,17,0.088,0.0,1,0,0,0.352,1,0,0.212,11.44,0.36,37.4,struggling
FM0400,Sarah Kamau,0778157681,2024-05-10,34,M,Uasin Gishu,3.39,0.877,-0.054,0.64,26,0.319,1.0,4,0,2,0.515,1,0,0.275,1.77,2.43,100.0,average
FM0401,David Mwangi,0729929513,2024-01-08,47,M,Kiambu,1.11,0.498,-0.015,0.529,14,0.108,0.0,2,0,0,0.328,1,0,0.244,0.77,1.24,39.8,struggling
FM0402,Grace Kiprotich,0794203633,2024-02-07,49,M,Nakuru,2.89,0.901,0.13,0.932,62,0.211,1.0,4,1,5,0.857,2,1,0.074,-1.22,2.91,100.0,excellent
FM0403,Faith Kamau,0785625284,2025-04-14,25,F,Uasin Gishu,1.9,0.577,0.062,0.833,39,0.218,1.0,3,1,1,0.678,2,0,0.224,-9.5,4.97,91.8,average
FM0404,Faith Wanjiku,0770195259,2024-01-03,43,M,Nakuru,4.92,0.081,-0.219,0.541,9,0.189,0.0,1,0,0,0.369,1,0,0.408,-9.61,1.78,21.9,struggling
FM0405,Mary Maina,0700651631,2024-05-27,35,M,Uasin Gishu,4.27,0.68,-0.106,0.687,46,0.298,1.0,3,1,2,0.636,2,0,0.353,-13.83,1.33,100.0,average
FM0406,Lucy Maina,0713111001,2025-07-04,41,M,Nakuru,12.29,0.813,0.088,0.662,41,0.246,0.5,3,0,0,0.796,1,1,0.346,-17.85,3.56,77.0,average
FM0407,Peter Wanjiku,0772922345,2024-11-16,43,F,Kiambu,1.46,0.739,0.035,0.638,30,0.284,1.0,3,1,0,0.792,2,1,0.173,-3.42,2.86,97.3,average
FM0408,James Njeri,0764014188,2024-12-29,56,M,Uasin Gishu,3.27,0.793,-0.072,0.351,13,0.079,0.0,1,0,0,0.463,1,0,0.429,-29.52,-0.64,28.2,struggling
FM0409,Grace Mwangi,0760168010,2024-05-10,41,M,Uasin Gishu,6.68,0.439,0.134,0.736,30,0.327,0.5,3,1,1,0.787,1,1,0.356,-0.32,1.79,76.7,average
FM0410,Lucy Njeri,0771296499,2025-01-22,34,M,Uasin Gishu,2.99,0.671,-0.037,0.824,47,0.134,1.0,3,1,0,0.512,2,0,0.343,1.63,2.14,99.2,average
FM0411,James Mwangi,0781135550,2024-01-29,47,M,Uasin Gishu,5.85,0.686,-0.029,0.69,34,0.51,1.0,3,1,2,0.785,1,0,0.511,-5.25,-1.69,100.0,average
FM0412,John Wambui,0708755148,2023-12-07,55,M,Nakuru,8.81,0.852,-0.005,0.708,35,0.263,1.0,3,1,1,0.707,2,1,0.189,-9.0,3.07,100.0,average
FM0413,Grace Wanjiku,0756455989,2025-08-15,56,F,Kiambu,2.26,0.89,0.123,0.924,66,0.482,1.0,4,1,5,0.96,2,1,0.006,20.95,2.07,100.0,excellent
FM0414,Grace Wambui,0789345603,2025-03-26,36,M,Bungoma,3.91,0.696,0.014,0.811,38,0.081,1.0,4,1,1,0.503,2,0,0.107,28.15,2.68,100.0,average
FM0415,Lucy Wambui,0795763125,2024-08-04,36,M,Meru,2.34,0.737,-0.027,0.709,36,0.111,1.0,4,1,2,0.702,1,0,0.376,1.86,1.58,100.0,average
FM0416,Sarah Wambui,0736821533,2025-05-29,42,F,Uasin Gishu,1.19,0.848,0.11,0.706,28,0.278,1.0,4,1,1,0.791,2,0,0.33,-11.61,2.78,100.0,average
FM0417,Grace Wambui,0707115375,2023-12-15,31,M,Bungoma,7.23,0.488,-0.181,0.843,31,0.374,0.5,3,0,2,0.761,2,0,0.118,1.33,3.56,72.8,average
FM0418,John Wanjiku,0745792904,2025-07-16,61,M,Kiambu,3.99,0.751,0.08,0.964,44,0.399,1.0,5,1,7,0.872,3,1,0.283,-26.81,3.82,100.0,excellent
FM0419,Grace Kiprotich,0736960165,2024-06-12,46,M,Nakuru,2.53,0.571,0.169,0.677,27,0.19,1.0,4,0,1,0.64,2,0,0.226,-1.25,-0.37,90.2,average
FM0420,James Maina,0791071735,2024-09-28,64,M,Uasin Gishu,9.03,0.654,-0.037,0.795,29,0.352,1.0,3,1,4,0.576,1,0,0.405,-5.8,2.39,100.0,average
FM0421,Mary Achieng,0750434666,2024-10-18,38,F,Meru,6.76,0.763,-0.102,0.723,43,0.419,1.0,3,1,0,0.764,2,0,0.385,8.04,0.62,100.0,average
FM0422,Faith Maina,0764609985,2025-04-04,60,M,Bungoma,2.22,0.803,0.115,0.931,52,0.639,1.0,4,1,7,0.911,3,1,0.097,-19.62,0.7,100.0,excellent
FM0423,Grace Mwangi,0781193369,2024-12-05,27,F,Nakuru,8.9,0.742,0.047,0.79,49,0.203,0.5,3,0,1,0.693,2,0,0.433,7.96,1.52,85.5,average
FM0424,Sarah Achieng,0768936880,2024-12-28,34,M,Bungoma,2.91,0.813,0.002,0.798,32,0.093,0.5,3,1,0,0.789,2,0,0.199,-1.24,-0.55,88.6,average
FM0425,Grace Maina,0725889380,2023-12-17,33,M,Bungoma,9.09,0.744,0.107,0.924,65,0.499,1.0,4,1,3,0.88,3,1,0.397,9.29,1.3,100.0,excellent
FM0426,Faith Maina,0766808100,2024-07-29,46,F,Kiambu,3.07,0.536,0.005,0.839,43,0.5,0.5,4,1,3,0.751,1,0,0.305,-6.28,1.65,97.6,average
FM0427,Mary Wambui,0750121218,2023-11-05,39,M,Uasin Gishu,3.98,0.499,-0.051,0.547,19,0.024,0.5,1,0,1,0.323,1,0,0.346,-8.87,4.29,43.2,struggling
FM0428,James Mwangi,0750854695,2024-12-20,44,M,Meru,3.82,0.88,0.046,0.617,39,0.131,0.5,3,1,1,0.595,1,0,0.398,-16.58,3.19,82.1,average
FM0429,James Wanjiku,0748331548,2024-08-09,44,M,Nakuru,0.88,0.865,-0.002,0.619,38,0.4,0.5,3,0,1,0.562,2,1,0.124,-0.81,-3.05,87.8,average
FM0430,Samuel Njeri,0711434838,2025-09-10,45,F,Bungoma,0.84,0.918,-0.046,0.662,36,0.369,1.0,4,0,5,0.572,1,1,0.019,28.15,1.81,98.5,average
